Date,Time,Open,High,Low,Close,Volume
10/18/2022,11:30 AM,368.81,368.95,368.38,368.725,466235
10/18/2022,11:33 AM,368.71,368.83,368.32,368.63,540153
10/18/2022,11:36 AM,368.6501,368.78,368.14,368.54,377681
10/18/2022,11:39 AM,368.5175,368.53,367.52,367.78,735174
10/18/2022,11:42 AM,367.78,368.29,367.55,367.8,583441
10/18/2022,11:45 AM,367.78,368.45,367.6,368.3959,539630
10/18/2022,11:48 AM,368.42,368.7899,368.224,368.74,773270
10/18/2022,11:51 AM,368.79,369.14,368.6501,369.045,467866
10/18/2022,11:54 AM,369.04,369.32,368.91,369.2811,338085
10/18/2022,11:57 AM,369.29,369.31,368.71,369.0358,432370
10/18/2022,12:00 PM,369.04,369.3,368.83,369.22,281760
10/18/2022,12:03 PM,369.2,369.3,368.97,369.24,317161
10/18/2022,12:06 PM,369.2401,369.31,369.141,369.16,332293
10/18/2022,12:09 PM,369.16,370.18,368.56,370.1626,852770
10/18/2022,12:12 PM,370.18,370.31,369.9901,370.25,438314
10/18/2022,12:15 PM,370.27,370.7,370.19,370.34,663645
10/18/2022,12:18 PM,370.35,370.55,369.9107,370.48,514284
10/18/2022,12:21 PM,370.48,370.8,370.2,370.31,452523
10/18/2022,12:24 PM,370.28,370.44,369.931,370.02,360018
10/18/2022,12:27 PM,370.0297,370.15,369.57,369.5899,639684
10/18/2022,12:30 PM,369.59,370.04,369.47,369.9396,424909
10/18/2022,12:33 PM,369.96,370,369.58,369.9711,230602
10/18/2022,12:36 PM,369.97,370.46,369.8728,370.3801,338797
10/18/2022,12:39 PM,370.38,371.22,370.3499,371.05,735490
10/18/2022,12:42 PM,371.06,371.28,370.88,371.2,352098
10/18/2022,12:45 PM,371.2,371.41,370.88,370.9207,489177
10/18/2022,12:48 PM,370.91,370.9497,370.48,370.5699,458896
10/18/2022,12:51 PM,370.545,371.11,370.43,371.1,383333
10/18/2022,12:54 PM,371.105,371.24,370.87,371.17,448165
10/18/2022,12:57 PM,371.176,371.44,371.06,371.1,293800
10/18/2022,1:00 PM,371.105,371.115,370.425,370.43,427557
10/18/2022,1:03 PM,370.44,370.65,369.82,369.94,613610
10/18/2022,1:06 PM,369.94,370.05,369.18,369.87,668453
10/18/2022,1:09 PM,369.87,370.32,369.51,370.1702,437684
10/18/2022,1:12 PM,370.18,370.45,369.75,370.33,439376
10/18/2022,1:15 PM,370.34,370.81,370.29,370.74,423110
10/18/2022,1:18 PM,370.76,370.84,370.43,370.77,260333
10/18/2022,1:21 PM,370.76,371.02,370.46,370.77,226549
10/18/2022,1:24 PM,370.76,370.79,370.17,370.23,259742
10/18/2022,1:27 PM,370.2278,371.3,370.21,371.22,311241
10/18/2022,1:30 PM,371.23,371.27,370.81,371.22,215937
10/18/2022,1:33 PM,371.24,371.38,370.99,371.33,277532
10/18/2022,1:36 PM,371.33,372.17,371.24,372.01,619809
10/18/2022,1:39 PM,372.015,372.121,371.7,371.825,327740
10/18/2022,1:42 PM,371.82,372.02,371.59,371.62,281180
10/18/2022,1:45 PM,371.61,371.82,370.77,371.74,256073
10/18/2022,1:48 PM,371.7499,371.84,371.16,371.64,676685
10/18/2022,1:51 PM,371.64,371.98,371.59,371.97,283836
10/18/2022,1:54 PM,371.9014,372.07,371.58,371.9205,232504
10/18/2022,1:57 PM,371.93,372.38,371.87,371.92,339403
10/18/2022,2:00 PM,371.9,372.09,371.71,372.04,342423
10/18/2022,2:03 PM,372.03,372.26,371.82,371.855,272674
10/18/2022,2:06 PM,371.84,371.94,371.25,371.39,470222
10/18/2022,2:09 PM,371.39,371.95,371.28,371.7,336108
10/18/2022,2:12 PM,371.69,371.77,371.35,371.65,275346
10/18/2022,2:15 PM,371.64,371.74,371.45,371.58,125674
10/18/2022,2:18 PM,371.57,371.59,371.14,371.49,264945
10/18/2022,2:21 PM,371.5,371.63,371.02,371.09,237668
10/18/2022,2:24 PM,371.09,371.61,371.0799,371.53,363859
10/18/2022,2:27 PM,371.54,371.73,371.34,371.54,310040
10/18/2022,2:30 PM,371.55,372.03,371.49,371.93,268088
10/18/2022,2:33 PM,371.95,371.97,371.44,371.51,269815
10/18/2022,2:36 PM,371.505,371.78,371.4299,371.75,198600
10/18/2022,2:39 PM,371.755,371.8199,370.08,370.13,896477
10/18/2022,2:42 PM,370.13,370.51,369.73,369.93,544148
10/18/2022,2:45 PM,369.9,370.25,368.79,368.93,698370
10/18/2022,2:48 PM,368.93,369.28,368.39,368.49,695243
10/18/2022,2:51 PM,368.48,369.02,368.11,368.555,803321
10/18/2022,2:54 PM,368.54,369.32,368.42,369.25,578555
10/18/2022,2:57 PM,369.27,369.34,368.97,369.16,346090
10/18/2022,3:00 PM,369.17,369.6384,369.03,369.4,660333
10/18/2022,3:03 PM,369.4,369.51,368.49,369.03,578928
10/18/2022,3:06 PM,369.045,369.178,368.5,369.08,485965
10/18/2022,3:09 PM,369.08,369.3894,369.0101,369.35,241930
10/18/2022,3:12 PM,369.35,369.365,368.705,368.875,452602
10/18/2022,3:15 PM,368.86,369.05,368.53,368.73,336919
10/18/2022,3:18 PM,368.76,368.98,368.39,368.92,436753
10/18/2022,3:21 PM,368.92,369.17,368.785,368.82,429608
10/18/2022,3:24 PM,368.85,369.628,368.72,369.53,411882
10/18/2022,3:27 PM,369.54,369.63,369.24,369.36,326473
10/18/2022,3:30 PM,369.35,369.8,369.17,369.674,304800
10/18/2022,3:33 PM,369.69,370.84,369.47,370.745,734317
10/18/2022,3:36 PM,370.76,370.96,370.26,370.37,616925
10/18/2022,3:39 PM,370.39,370.44,370.11,370.165,436320
10/18/2022,3:42 PM,370.15,370.71,370.125,370.6129,330929
10/18/2022,3:45 PM,370.62,371.015,370.3999,370.8211,428924
10/18/2022,3:48 PM,370.82,370.8279,370.4601,370.5,631428
10/18/2022,3:51 PM,370.505,371.3,370.36,370.66,776788
10/18/2022,3:54 PM,370.67,370.81,370.365,370.63,1017864
10/18/2022,3:57 PM,370.62,370.64,370.06,370.31,1162971
10/18/2022,4:00 PM,370.315,371.23,370.19,371.14,3356814
10/19/2022,9:33 AM,368.99,369.91,368.3,369.5001,1143032
10/19/2022,9:36 AM,369.51,370.81,369.3589,370.575,1116116
10/19/2022,9:39 AM,370.58,370.94,370.01,370.02,725684
10/19/2022,9:42 AM,370.03,370.35,369.01,369.46,738798
10/19/2022,9:45 AM,369.47,369.47,368.52,369.14,688802
10/19/2022,9:48 AM,369.13,369.28,368.5,368.6789,551881
10/19/2022,9:51 AM,368.64,368.95,367.85,368.42,837688
10/19/2022,9:54 AM,368.4099,369.37,368.33,368.9,582255
10/19/2022,9:57 AM,368.9,369.5,368.51,368.6901,610533
10/19/2022,10:00 AM,368.7,368.94,368.37,368.59,382354
10/19/2022,10:03 AM,368.58,369.05,368.23,368.74,535400
10/19/2022,10:06 AM,368.69,369.6787,368.68,369.31,492385
10/19/2022,10:09 AM,369.34,369.73,369.26,369.42,427147
10/19/2022,10:12 AM,369.44,369.68,368.8501,369.05,335498
10/19/2022,10:15 AM,369.08,370.22,369.07,370.08,354222
10/19/2022,10:18 AM,370.089,370.86,370.07,370.16,699377
10/19/2022,10:21 AM,370.16,370.79,370.1,370.54,330053
10/19/2022,10:24 AM,370.56,371.5005,370.54,371.405,770111
